站号       经度         纬度         省份    城市                    站点                        系统编号
150800567  107.3715     40.7378      内蒙古  巴彦淖尔市              市环保大楼                  2196A
150900850  113.1306     40.9923      内蒙古  乌兰察布市              集宁新区                    2197A
150900852  113.1076     41.0385      内蒙古  乌兰察布市              光明街小学(启用170221)      3034A
152200526  122.0392     46.0656      内蒙古  兴安盟                  胜华新制药厂                2200A
152200527  121.9504     46.07406     内蒙古  兴安盟                  科右前旗环保局              2201A
152200528  122.0931     46.0707      内蒙古  兴安盟                  北滨河(启用170221)          3035A
152500819  116.1042     43.9317      内蒙古  锡林郭勒盟              市环保监测站                2202A
152500820  116.0781     43.9311      内蒙古  锡林郭勒盟              市政府                      2203A
152900012  105.6775     38.8343      内蒙古  阿拉善盟                体育场(对照点)              2204A
152900051  105.6975     38.843       内蒙古  阿拉善盟                盟环保楼                    2205A
152900052  105.724      38.8516      内蒙古  阿拉善盟                环保局新楼                  2206A
210100003  123.6836     41.9339      辽宁    沈阳市                  森林路(对照点)              1098A
210100100  123.542      41.8336      辽宁    沈阳市                  东陵路                      1102A
210100102  123.439      41.7089      辽宁    沈阳市                  新秀街                      1100A
210100103  123.3783     41.9228      辽宁    沈阳市                  京沈街                      1108A
210100104  123.535      41.7561      辽宁    沈阳市                  浑南东路                    1099A
210100105  123.2444     41.7347      辽宁    沈阳市                  沈辽西路                    2897A
210100106  123.5953     41.9086      辽宁    沈阳市                  裕农路                      2900A
21010096   123.3997     41.7972      辽宁    沈阳市                  太原街                      1106A
21010097   123.478      41.7775      辽宁    沈阳市                  小河沿                      1105A
21010098   123.41       41.765       辽宁    沈阳市                  文化路                      1104A
21010099   123.428      41.8472      辽宁    沈阳市                  陵东街                      1103A
210200051  121.6119444  38.97388889  辽宁    大连市                  甘井子                      1109A
210200052  121.565      38.95111111  辽宁    大连市                  周水子                      1110A
210200053  121.5638889  38.885       辽宁    大连市                  星海三站                    1111A
210200054  121.6330556  38.91194444  辽宁    大连市                  青泥洼桥                    1112A
210200055  121.625      38.86388889  辽宁    大连市                  傅家庄                      1113A
210200056  121.5180556  38.85611111  辽宁    大连市                  七贤岭                      1114A
210200057  121.2588889  38.80805556  辽宁    大连市                  旅顺                        1115A
210200058  121.7481     39.1311      辽宁    大连市                  金州                        1116A
210200059  121.7769     39.0511      辽宁    大连市                  开发区                      1117A
210200060  121.9769     39.0631      辽宁    大连市                  双D港                       1118A
210281001  121.989      39.625       辽宁    瓦房店市                抱龙山庄                    2018A
210281002  122.011      39.617       辽宁    瓦房店市                东山公园                    2019A
210300001  123.1289     41.0228      辽宁    鞍山市                  千山(对照点)                1754A
210300051  123.044      41.1196      辽宁    鞍山市                  深沟寺                      1748A
210300052  123.011      41.0931      辽宁    鞍山市                  太阳城                      1749A
210300053  123.0485     41.1442      辽宁    鞍山市                  太平                        1750A
210300054  122.9642     41.0971      辽宁    鞍山市                  铁西三道街                  1751A
210300055  123.0156     41.0831      辽宁    鞍山市                  明达新区                    1753A
210300080  122.9481     41.0833      辽宁    鞍山市                  铁西工业园区                1752A
210400051  123.9        41.8594      辽宁    抚顺市                  新抚区                      1758A
210400052  123.9169     41.8828      辽宁    抚顺市                  顺城区                      1756A
210400053  124.0383     41.8625      辽宁    抚顺市                  东洲区                      1757A
210400054  124.0878     41.8864      辽宁    抚顺市                  大伙房水库                  1759A
210400055  123.81       41.8469      辽宁    抚顺市                  望花区                      1755A
210400056  123.7117     41.8417      辽宁    抚顺市                  沈抚新城                    1760A
210500355  123.8436     41.3283      辽宁    本溪市                  大峪                        1761A
210500405  123.7528     41.3369      辽宁    本溪市                  溪湖                        1762A
210500410  123.7308     41.3047      辽宁    本溪市                  彩屯                        1763A
210500420  123.7669     41.2864      辽宁    本溪市                  东明                        1764A
210500425  123.7989     41.2692      辽宁    本溪市                  新立屯                      1765A
210500435  123.8142     41.3472      辽宁    本溪市                  威宁                        1766A
210600401  124.3303     40.0625      辽宁    丹东市                  江湾东路                    1600A
210600402  124.4256     40.1503      辽宁    丹东市                  临江后街                    1601A
210600403  124.3933     40.1461      辽宁    丹东市                  元宝山                      1602A
210600404  124.3678     40.1194      辽宁    丹东市                  民主桥                      1603A
210700351  121.0986     41.0781      辽宁    锦州市                  南山                        1767A
210700402  121.045      40.8333      辽宁    锦州市                  开发区                      1768A
210700403  121.2008     41.1219      辽宁    锦州市                  百股街道                    1769A
210700404  121.1178     41.1222      辽宁    锦州市                  天安街道                    1770A
